,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Runs,Fifties,Highest Score,Day,Month
134,134,134.0,9.0,,,,,10,Quinton de Kock,Lucknow,7,7,215,2,80,19,4
135,135,135.0,10.0,,,,,11,Aiden Markram,Hyderabad,6,5,190,2,68,19,4
136,136,136.0,11.0,,,,,12,Suryakumar Yadav,Mumbai,4,4,200,2,68,19,4
137,137,137.0,12.0,,,,,13,David Warner,Delhi,3,3,131,2,66,19,4
138,138,138.0,13.0,,,,,14,Prithvi Shaw,Delhi,5,5,176,2,61,19,4
139,139,139.0,14.0,,,,,15,Deepak Hooda,Lucknow,7,7,183,2,55,19,4
140,140,140.0,15.0,,,,,16,Lokesh Rahul,Lucknow,7,7,265,1,103,19,4
141,141,141.0,16.0,,,,,17,David Miller,Gujarat,6,6,193,1,94,19,4
142,142,142.0,17.0,,,,,18,Abhishek Sharma,Hyderabad,6,6,173,1,75,19,4
143,143,143.0,18.0,,,,,19,Ruturaj Gaikwad,Chennai,6,6,108,1,73,19,4
144,144,144.0,19.0,,,,,20,Rahul Tripathi,Hyderabad,6,6,205,1,71,19,4
145,145,145.0,20.0,,,,,21,Andre Russell,Kolkata,7,6,179,1,70,19,4
146,146,146.0,21.0,,,,,22,Shikhar Dhawan,Punjab,6,6,205,1,70,19,4
147,147,147.0,22.0,,,,,23,Anuj Rawat,Bangalore,7,7,129,1,66,19,4
148,148,148.0,23.0,,,,,24,Dinesh Karthik,Bangalore,7,7,210,1,66,19,4
149,149,149.0,24.0,,,,,25,Tilak Varma,Mumbai,6,6,183,1,61,19,4
150,150,0.0,,,,,,1,David Warner,Delhi,4,4,191,3,66,20,4
151,151,1.0,,,,,,2,Liam Livingstone,Punjab,7,7,226,3,64,20,4
152,152,2.0,,,,,,3,Jos Buttler,Rajasthan,6,6,375,2,103,20,4
153,153,3.0,,,,,,4,Faf du Plessis,Bangalore,7,7,250,2,96,20,4
154,154,4.0,,,,,,5,Shubman Gill,Gujarat,6,6,200,2,96,20,4
155,155,5.0,,,,,,6,Shivam Dube,Chennai,6,6,226,2,95,20,4
156,156,6.0,,,,,,7,Robin Uthappa,Chennai,6,6,197,2,88,20,4
157,157,7.0,,,,,,8,Hardik Pandya,Gujarat,5,5,228,2,87,20,4
158,158,8.0,,,,,,9,Shreyas Iyer,Kolkata,7,7,236,2,85,20,4
159,159,9.0,,,,,,10,Ishan Kishan,Mumbai,6,6,191,2,81,20,4
160,160,10.0,,,,,,11,Quinton de Kock,Lucknow,7,7,215,2,80,20,4
161,161,11.0,,,,,,12,Aiden Markram,Hyderabad,6,5,190,2,68,20,4
162,162,12.0,,,,,,13,Suryakumar Yadav,Mumbai,4,4,200,2,68,20,4
163,163,13.0,,,,,,14,Prithvi Shaw,Delhi,6,6,217,2,61,20,4
164,164,14.0,,,,,,15,Deepak Hooda,Lucknow,7,7,183,2,55,20,4
165,165,15.0,,,,,,16,Lokesh Rahul,Lucknow,7,7,265,1,103,20,4
166,166,16.0,,,,,,17,David Miller,Gujarat,6,6,193,1,94,20,4
167,167,17.0,,,,,,18,Abhishek Sharma,Hyderabad,6,6,173,1,75,20,4
168,168,18.0,,,,,,19,Ruturaj Gaikwad,Chennai,6,6,108,1,73,20,4
169,169,19.0,,,,,,20,Rahul Tripathi,Hyderabad,6,6,205,1,71,20,4
170,170,20.0,,,,,,21,Andre Russell,Kolkata,7,6,179,1,70,20,4
171,171,21.0,,,,,,22,Shikhar Dhawan,Punjab,7,7,214,1,70,20,4
172,172,22.0,,,,,,23,Anuj Rawat,Bangalore,7,7,129,1,66,20,4
173,173,23.0,,,,,,24,Dinesh Karthik,Bangalore,7,7,210,1,66,20,4
174,174,24.0,,,,,,25,Tilak Varma,Mumbai,6,6,183,1,61,20,4
175,0,,,,,,,1,David Warner,Delhi,4,4,191,3,66,21,4
176,1,,,,,,,2,Liam Livingstone,Punjab,7,7,226,3,64,21,4
177,2,,,,,,,3,Jos Buttler,Rajasthan,6,6,375,2,103,21,4
178,3,,,,,,,4,Faf du Plessis,Bangalore,7,7,250,2,96,21,4
179,4,,,,,,,5,Shubman Gill,Gujarat,6,6,200,2,96,21,4
180,5,,,,,,,6,Shivam Dube,Chennai,7,7,239,2,95,21,4
181,6,,,,,,,7,Robin Uthappa,Chennai,7,7,227,2,88,21,4
182,7,,,,,,,8,Hardik Pandya,Gujarat,5,5,228,2,87,21,4
183,8,,,,,,,9,Shreyas Iyer,Kolkata,7,7,236,2,85,21,4
184,9,,,,,,,10,Ishan Kishan,Mumbai,7,7,191,2,81,21,4
185,10,,,,,,,11,Quinton de Kock,Lucknow,7,7,215,2,80,21,4
186,11,,,,,,,12,Aiden Markram,Hyderabad,6,5,190,2,68,21,4
187,12,,,,,,,13,Suryakumar Yadav,Mumbai,5,5,232,2,68,21,4
188,13,,,,,,,14,Prithvi Shaw,Delhi,6,6,217,2,61,21,4
189,14,,,,,,,15,Tilak Varma,Mumbai,7,7,234,2,61,21,4
190,15,,,,,,,16,Deepak Hooda,Lucknow,7,7,183,2,55,21,4
191,16,,,,,,,17,Lokesh Rahul,Lucknow,7,7,265,1,103,21,4
192,17,,,,,,,18,David Miller,Gujarat,6,6,193,1,94,21,4
193,18,,,,,,,19,Abhishek Sharma,Hyderabad,6,6,173,1,75,21,4
194,19,,,,,,,20,Ruturaj Gaikwad,Chennai,7,7,108,1,73,21,4
195,20,,,,,,,21,Rahul Tripathi,Hyderabad,6,6,205,1,71,21,4
196,21,,,,,,,22,Andre Russell,Kolkata,7,6,179,1,70,21,4
197,22,,,,,,,23,Shikhar Dhawan,Punjab,7,7,214,1,70,21,4
198,23,,,,,,,24,Anuj Rawat,Bangalore,7,7,129,1,66,21,4
199,24,,,,,,,25,Dinesh Karthik,Bangalore,7,7,210,1,66,21,4
